city,hightest_tem,lowest_tem,weather,date,week,wind_direction,wind_level
佳木斯,23.0,10.0,晴,2017-05-29,星期一,西南风,8
嘉定,30.0,26.0,中雨~阵雨,2011-08-07,星期六,北风~西南风,8
嘉荫,27.0,15.0,晴,2017-05-03,星期三,西南风,8
槐荫 ,21.0,13.0,雷阵雨,2017-04-13,星期四,南风,8
稷山,31.0,15.0,晴,2017-05-09,星期二,西北风,8
金山,29.0,25.0,小雨到暴雨,2019-08-10,星期六,东风,8
集安,14.0,5.0,小雨,2017-04-20,星期四,西北风,8
鸡东,31.0,13.0,多云,2013-05-31,星期五,西风,8
鸡东,26.0,12.0,多云转晴,2013-06-06,星期四,西风,8
鸡东,28.0,17.0,多云转晴,2013-06-08,星期六,西风,8
鸡东,23.0,14.0,小到中雨转多云,2013-06-13,星期四,西风,8
鸡东,29.0,14.0,晴,2013-06-14,星期五,西风,8
鸡东,30.0,20.0,晴转多云,2013-06-16,星期日,西风,8
鸡东,24.0,17.0,多云转阵雨,2013-06-17,星期一,西风,8
鸡东,13.0,2.0,阵雨,2017-04-17,星期一,南风,8
鸡东,12.0,4.0,小雨,2017-05-06,星期六,西南风,8
