city,hightest_tem,lowest_tem,weather,wind_direction,wind_level
九台,23.0,11.0,晴,西北风~西风,微风
井陉,27.0,23.0,多云转中到大雨,北风~南风,小于3
交口,26.0,13.0,多云~小雨,无持续风向,微风
交城,28.0,17.0,多云~小雨,无持续风向~北风,微风~4-5
介休,20.0,9.0,多云,南风,微风
佳木斯,22.0,9.0,多云~晴,西风~西北风,3-4~微风
即墨,30.0,20.0,阵雨~多云,南风~北风,3-4
吉林,23.0,9.0,多云~晴,西北风,3-4
和田地区,17.0,7.0,多云,西北风,2
嘉定,32.0,24.0,晴,东北风,3-4
嘉祥,31.0,21.0,多云,东北风,微风
嘉荫,21.0,7.0,多云,西北风,3-4~微风
巨鹿,26.0,19.0,阵雨~阴,北风,3-4
建昌,14.0,0.0,晴,西北风~西风,小于3~3-4
开封鼓楼,19.0,28.0,多云~阴,东南3-4级,2
拉萨城关,12.0,24.0,多云~阴,西南1-2级,2
晋中,19.0,8.0,多云,南风,微风
晋城,23.0,19.0,小雨转中到大雨,东南风,小于3
晋州,10.0,7.0,小雨,北风~南风,小于3
槐荫,21.0,13.0,阴,南风,4
槐荫 ,15.0,25.0,多云~晴,南风微风,2
江津,41.0,26.0,晴,无持续风向,微风
江源,30.0,14.0,晴,西风,小于3
河东,23.0,32.0,多云~阴,东北偏东2-3级,东北偏东2-3
泾阳,22.0,13.0,多云,无持续风向,微风
津南,27.0,19.0,阴,东北风~无持续风向,3-4~微风
济南,21.0,10.0,多云,北风,微风
济宁,31.0,21.0,多云,东北风,微风
海州,14.0,18.0,小雨,0-1级,2
稷山,33.0,20.0,晴~多云,南风,微风
胶州,17.0,12.0,阴转阵雨,北风,3-4~4-5
蛟河,23.0,9.0,多云~晴,西北风,3-4
金山,21.0,17.0,阴~小雨,东北风,4-5
金州,29.0,21.0,晴,南风~西南风,4-5
锦州,28.0,19.0,晴,北风,3-4~微风
集宁,10.0,-4.0,晴,西北风,3-4
集安,31.0,19.0,晴,微风,小于3
集贤,22.0,10.0,多云~晴,西北风,3-4
靖宇,22.0,8.0,小雨~多云,西风,微风
靖边,26.0,15.0,雷阵雨~多云,无持续风向,微风
静乐,12.0,6.0,多云~阴,北风,微风
鸡东,23.0,13.0,晴,西风,3-4
鸡泽,19.0,11.0,多云,北风,3-4
鸡西,21.0,10.0,多云~晴,西北风,3-4~微风
鼓楼,16.0,8.0,晴,东风,1
