year,gjczsr,gjczzc,sssr,zzs,grsds,qysds
2021,202539.00,246322.00,172731.00,,,
2020,182914.00,245679.00,154310.00,56791.00,11568.00,36424.00
2019,190390.00,238858.00,157992.00,62346.00,10388.00,37300.00
2018,183360.00,220904.00,156401.00,61529.00,13872.00,35323.00
2017,172593.00,203085.00,144360.00,56378.00,11966.00,32111.00
2016,159605.00,187755.00,130354.00,40712.00,10088.90,28849.50
2015,152269.00,175878.00,124892.00,31109.10,8618.00,27125.10
2014,140370.00,151786.00,119158.00,30850.00,7377.00,24632.00
2013,129210.00,140212.00,110531.00,28810.10,6531.53,22427.20
2012,117254.00,125953.00,100601.00,26416.00,5820.00,19654.00
2011,103874.00,109248.00,89720.30,24266.60,6054.10,16760.40
2010,83101.50,89874.20,73210.80,21093.50,4837.27,12843.50
2009,68518.30,76299.90,59521.60,18481.20,3949.35,11536.80
2008,61330.40,62592.70,54223.80,17996.90,3722.31,11175.60
2007,51321.80,49781.40,45622.00,15470.20,3185.58,8779.25
2006,38760.20,40422.70,34804.40,12784.80,2453.71,7039.60
2005,31649.30,33930.30,28778.50,10792.10,2094.91,5343.92
2004,26396.50,28486.90,24165.70,9017.94,1737.06,3957.33
2003,21715.20,24649.90,20017.30,7236.54,1418.04,2919.51
2002,18903.60,22053.20,17636.40,6178.39,1211.78,3082.79
2001,16386.00,18902.60,15301.40,5357.13,995.25,2630.87
2000,13395.20,15886.50,12581.50,4553.17,659.64,999.63
1999,11444.10,13187.70,10682.60,3881.87,413.66,811.41
1998,9875.95,10798.20,9262.80,3628.46,338.20,925.54
1997,8651.14,9233.56,8234.04,3283.92,,963.18
1996,7407.99,7937.55,6909.82,2962.81,,968.48
1995,6242.20,6823.72,6038.04,2602.33,,878.44
1994,5218.10,5792.62,5126.88,2308.34,,708.49
1993,4348.95,4642.30,4255.30,1081.48,,678.60
1992,3483.37,3742.20,3296.91,705.93,,720.78
1991,3149.48,3386.62,2990.17,406.36,,731.13
1990,2937.10,3083.59,2821.86,400.00,,716.00
1989,2664.90,2823.78,2727.40,430.83,,700.43
1988,2357.24,2491.21,2390.47,384.37,,676.04
1987,2199.35,2262.18,2140.36,254.20,,664.71
1986,2122.01,2204.91,2090.73,232.19,,692.40
1985,2004.82,2004.25,2040.79,147.70,,696.06
1984,1642.86,1701.02,947.35,,,
1983,1366.95,1409.52,775.59,,,
1982,1212.33,1229.98,700.02,,,
1981,1175.79,1138.41,629.89,,,
1980,1159.93,1228.83,571.70,,,
1979,1146.38,1281.79,537.82,,,
1978,1132.26,1122.09,519.28,,,
1977,874.46,843.53,468.27,,,
1976,776.58,806.20,407.96,,,
1975,815.61,820.88,402.77,,,
1974,783.14,790.25,360.40,,,
1973,809.67,808.78,348.95,,,
1972,766.56,765.86,317.02,,,
1971,744.73,732.17,312.56,,,
1970,662.90,649.41,281.20,,,
1969,526.76,525.86,235.44,,,
1968,361.25,357.84,191.56,,,
1967,419.36,439.84,196.63,,,
1966,558.71,537.65,221.96,,,
1965,473.32,459.97,204.30,,,
1964,399.54,393.79,182.00,,,
1963,342.25,332.05,164.31,,,
1962,313.55,294.88,162.07,,,
1961,356.06,356.09,158.76,,,
1960,572.29,643.68,203.65,,,
1959,487.12,543.17,204.71,,,
1958,379.62,400.36,187.36,,,
1957,303.20,295.95,154.89,,,
1956,280.19,298.52,140.88,,,
1955,249.27,262.73,127.45,,,
1954,245.17,244.11,132.18,,,
1953,213.24,219.21,119.67,,,
1952,173.94,172.07,97.69,,,
1951,124.96,122.07,81.13,,,
1950,62.17,68.05,48.98,,,
